iter	Passed	Remaining
0	51	51291
1	52	26344
2	54	18260
3	56	13953
4	57	11422
5	58	9757
6	61	8731
7	63	7919
8	66	7287
9	67	6719
10	69	6223
11	70	5836
12	72	5502
13	74	5237
14	76	5004
15	77	4780
16	81	4721
17	83	4563
18	85	4398
19	87	4271
20	88	4136
21	90	4008
22	92	3914
23	93	3801
24	94	3691
25	96	3617
26	98	3548
27	101	3506
28	102	3421
29	103	3345
30	104	3273
31	106	3225
32	109	3211
33	112	3200
34	115	3181
35	117	3143
36	119	3107
37	121	3064
38	123	3033
39	125	3000
40	126	2970
41	128	2939
42	130	2905
43	132	2878
44	134	2851
45	139	2883
46	140	2853
47	142	2817
48	143	2784
49	145	2761
50	146	2727
51	148	2707
52	150	2687
53	151	2660
54	153	2639
55	155	2617
56	157	2601
57	159	2585
58	160	2557
59	161	2532
60	163	2518
61	165	2498
62	166	2479
63	168	2463
64	170	2449
65	171	2431
66	173	2413
67	175	2403
68	177	2392
69	180	2391
70	182	2383
71	184	2372
72	186	2365
73	188	2355
74	189	2336
75	191	2324
76	193	2316
77	195	2307
78	196	2296
79	198	2284
80	200	2273
81	201	2259
82	203	2251
83	205	2241
84	207	2230
85	209	2222
86	210	2214
87	212	2206
88	214	2198
89	216	2192
90	218	2185
91	221	2185
92	223	2179
93	225	2177
94	227	2169
95	229	2163
96	231	2158
97	233	2151
98	235	2146
99	237	2140
100	239	2132
101	241	2127
102	243	2116
103	244	2103
104	245	2092
105	247	2086
106	249	2079
107	251	2074
108	253	2068
109	255	2068
110	257	2063
111	260	2063
112	262	2059
113	264	2053
114	266	2047
115	267	2042
116	269	2037
117	271	2031
118	273	2026
119	275	2021
120	277	2017
121	279	2012
122	282	2011
123	285	2017
124	287	2012
125	289	2007
126	291	2003
127	293	1996
128	294	1989
129	296	1982
130	298	1978
131	299	1969
132	300	1960
133	302	1952
134	304	1948
135	306	1944
136	310	1957
137	314	1966
138	319	1976
139	322	1982
140	326	1986
141	331	2004
142	334	2002
143	339	2018
144	344	2029
145	348	2041
146	353	2053
147	355	2047
148	357	2042
149	359	2037
150	361	2033
151	363	2025
152	365	2024
153	375	2060
154	384	2097
155	387	2097
156	390	2096
157	392	2089
